,Age,Gender,Income,Education,Marital Status,Number of Children,Home Ownership,Credit Score
955,32,Female,62869,Bachelor's Degree,Single,1,Owned,High
956,50,Male,127246,High School Diploma,Single,0,Owned,High
957,31,Female,69541,Associate's Degree,Single,0,Rented,Average
958,34,Male,85774,Associate's Degree,Single,0,Rented,Average
959,25,Female,37385,Associate's Degree,Single,0,Rented,Low
960,34,Male,67509,High School Diploma,Single,0,Rented,Average
961,31,Female,52335,Associate's Degree,Single,0,Rented,Average
962,30,Female,33994,Bachelor's Degree,Single,0,Rented,Low
963,50,Female,105752,Bachelor's Degree,Married,1,Owned,High
964,27,Female,-4123,Associate's Degree,Single,0,Rented,Low
965,27,Female,39897,Bachelor's Degree,Single,0,Rented,Low
966,48,Male,75910,Master's Degree,Single,0,Owned,High
967,39,Female,118601,Master's Degree,Married,1,Owned,High
968,47,Female,55213,Doctorate,Married,1,Owned,High
969,32,Male,154795,Master's Degree,Single,0,Owned,High
970,34,Male,80496,Bachelor's Degree,Single,0,Rented,High
971,28,Female,41123,Associate's Degree,Single,0,Rented,Low
972,25,Female,23370,Bachelor's Degree,Single,0,Owned,Low
973,32,Female,60008,Associate's Degree,Single,0,Rented,High
974,30,Female,46674,Associate's Degree,Single,0,Rented,Low
975,48,Male,162057,Master's Degree,Married,1,Owned,High
976,24,Female,39141,Associate's Degree,Single,0,Rented,Average
977,47,Female,54207,Bachelor's Degree,Married,2,Owned,High
978,46,Female,120793,High School Diploma,Married,1,Owned,High
979,47,Female,114340,Doctorate,Married,2,Owned,High
980,36,Male,118564,Master's Degree,Single,0,Owned,High
981,54,Male,122711,Bachelor's Degree,Single,0,Owned,High
982,50,Male,81762,Master's Degree,Married,0,Owned,High
983,32,Female,61603,Associate's Degree,Single,0,Rented,Average
984,53,Female,106629,Master's Degree,Married,1,Owned,High
985,44,Female,86867,Doctorate,Married,2,Owned,High
986,30,Female,21654,High School Diploma,Single,0,Rented,Low
987,31,Female,58420,Associate's Degree,Single,0,Rented,Average
988,42,Male,111457,Master's Degree,Married,2,Owned,High
989,31,Male,133256,Bachelor's Degree,Single,0,Owned,High
990,44,Female,90195,Doctorate,Married,1,Owned,High
991,33,Female,20835,Bachelor's Degree,Married,1,Owned,High
992,34,Male,75519,Doctorate,Married,2,Owned,High
993,37,Male,45640,Bachelor's Degree,Single,0,Rented,Low
994,35,Female,78322,High School Diploma,Single,0,Rented,Low
995,52,Male,143079,Master's Degree,Married,0,Owned,High
996,28,Female,32708,Bachelor's Degree,Single,0,Rented,Low
997,46,Female,143425,Doctorate,Married,2,Owned,High
998,45,Female,116449,Doctorate,Married,1,Owned,High
999,44,Female,146164,Doctorate,Single,0,Owned,High
1000,30,Female,26036,High School Diploma,Single,0,Rented,Low
1001,45,Male,58418,Doctorate,Single,1,Owned,High
1002,32,Female,69789,Associate's Degree,Single,0,Rented,Average
1003,45,Male,127168,Master's Degree,Married,1,Owned,High
1004,27,Male,151438,High School Diploma,Single,0,Owned,High
1005,35,Male,108982,Bachelor's Degree,Single,0,Rented,High
1006,25,Female,59120,Doctorate,Married,0,Owned,High
1007,25,Female,18678,Bachelor's Degree,Single,0,Owned,Low
1008,24,Female,15442,Bachelor's Degree,Single,0,Rented,Low
1009,30,Female,5176,Bachelor's Degree,Single,0,Rented,Average
1010,32,Female,51393,Bachelor's Degree,Single,0,Rented,Average
1011,31,Male,45702,High School Diploma,Single,0,Rented,Low
1012,51,Male,164429,Bachelor's Degree,Married,0,Owned,High
1013,29,Female,29811,Bachelor's Degree,Single,0,Rented,Average
1014,27,Female,29793,High School Diploma,Single,0,Rented,Low
1015,45,Male,170683,Master's Degree,Married,0,Owned,High
1016,37,Male,59052,High School Diploma,Single,0,Rented,Average
1017,29,Female,26568,Associate's Degree,Single,0,Rented,Low
1018,40,Male,99242,Master's Degree,Single,0,Owned,High
1019,27,Female,34560,Bachelor's Degree,Single,0,Rented,Average
1020,31,Female,58608,Associate's Degree,Single,0,Rented,Average
1021,46,Male,108165,Master's Degree,Married,2,Owned,High
1022,29,Male,66802,Bachelor's Degree,Single,0,Rented,Low
1023,31,Male,58592,Bachelor's Degree,Single,0,Owned,Average
1024,44,Female,28680,Doctorate,Married,1,Owned,High
1025,44,Male,120063,Master's Degree,Married,1,Owned,High
1026,34,Female,62497,Bachelor's Degree,Married,1,Owned,High
1027,32,Male,2182,High School Diploma,Single,0,Rented,Low
1028,48,Male,118199,Master's Degree,Single,0,Owned,High
1029,33,Male,35285,Associate's Degree,Single,0,Rented,Low
1030,46,Male,139845,Doctorate,Married,2,Owned,High
1031,41,Female,110554,Bachelor's Degree,Married,1,Owned,High
1032,36,Female,89085,Bachelor's Degree,Married,1,Owned,High
1033,48,Male,141560,Master's Degree,Married,2,Owned,High
1034,50,Female,120533,Master's Degree,Married,1,Owned,High
1035,53,Male,118008,Bachelor's Degree,Married,2,Owned,High
1036,33,Female,37212,Associate's Degree,Single,0,Rented,Average
1037,41,Female,29503,High School Diploma,Single,0,Rented,Low
1038,33,Female,46078,Associate's Degree,Single,0,Owned,Average
1039,22,Female,44677,High School Diploma,Single,0,Rented,Average
1040,29,Male,57275,High School Diploma,Single,0,Owned,High
1041,48,Female,98577,High School Diploma,Married,1,Owned,High
1042,30,Male,22929,Associate's Degree,Single,0,Rented,Average
1043,44,Female,125010,Bachelor's Degree,Married,2,Owned,High
1044,48,Male,147069,Bachelor's Degree,Married,2,Owned,High
1045,50,Female,72784,High School Diploma,Married,0,Owned,High
1046,50,Male,88359,High School Diploma,Married,1,Owned,High
1047,34,Female,97407,Master's Degree,Married,3,Owned,High
1048,31,Male,115270,Bachelor's Degree,Single,0,Owned,High
1049,42,Female,136105,Bachelor's Degree,Married,1,Owned,High
1050,49,Female,90400,Doctorate,Married,1,Owned,High
1051,47,Male,148991,Master's Degree,Married,2,Owned,High
1052,45,Male,130295,Bachelor's Degree,Married,1,Owned,High
1053,27,Female,2196,High School Diploma,Single,0,Rented,Low
1054,51,Male,70115,Master's Degree,Married,1,Owned,High
1055,25,Female,51123,Doctorate,Married,2,Owned,High
1056,50,Male,64115,Doctorate,Married,1,Owned,High
1057,56,Female,102880,Bachelor's Degree,Married,1,Owned,High
1058,38,Female,41717,Associate's Degree,Single,0,Rented,Average
1059,29,Female,31371,High School Diploma,Single,0,Rented,Low
1060,33,Female,42915,High School Diploma,Single,0,Rented,Low
1061,28,Male,52055,Bachelor's Degree,Single,0,Rented,Average
1062,28,Male,40111,Associate's Degree,Single,0,Rented,Average
1063,48,Female,118926,Doctorate,Married,0,Owned,High
1064,32,Male,39859,Associate's Degree,Single,0,Rented,Low
1065,29,Female,45588,Bachelor's Degree,Married,1,Owned,High
1066,50,Male,138383,Master's Degree,Married,2,Owned,High
1067,47,Female,110436,Master's Degree,Married,0,Owned,High
1068,49,Male,107134,Master's Degree,Married,0,Owned,High
1069,28,Female,28577,High School Diploma,Single,0,Rented,Low
1070,31,Female,122998,Doctorate,Married,1,Owned,High
1071,47,Male,101831,Master's Degree,Single,0,Owned,Average
1072,32,Male,67346,Associate's Degree,Single,0,Rented,Average
1073,28,Female,68086,High School Diploma,Single,0,Rented,High
1074,33,Male,67414,Bachelor's Degree,Single,0,Rented,Average
1075,23,Female,16936,Associate's Degree,Single,0,Rented,Low
1076,50,Female,92792,Master's Degree,Married,1,Owned,High
1077,33,Female,63790,Doctorate,Married,0,Owned,High
1078,45,Female,145602,Doctorate,Single,1,Owned,High
1079,50,Female,78151,Master's Degree,Married,1,Owned,High
1080,48,Male,126361,Doctorate,Married,2,Owned,High
1081,49,Male,60868,Bachelor's Degree,Single,0,Owned,High
1082,27,Female,49058,Associate's Degree,Single,0,Rented,Average
1083,41,Female,34883,Bachelor's Degree,Married,1,Owned,High
1084,38,Female,40061,Doctorate,Married,0,Owned,High
1085,30,Female,50938,High School Diploma,Single,0,Rented,High
1086,32,Female,22994,High School Diploma,Single,0,Rented,Average
1087,27,Female,36327,Associate's Degree,Single,0,Rented,Average
1088,31,Male,45908,Associate's Degree,Single,0,Rented,Average
1089,48,Male,151143,Master's Degree,Married,1,Owned,High
1090,45,Male,178228,Master's Degree,Single,0,Owned,High
1091,49,Female,43032,Doctorate,Married,2,Owned,High
1092,27,Female,36232,Bachelor's Degree,Single,0,Rented,Average
1093,26,Female,40211,Associate's Degree,Single,0,Rented,Low
1094,29,Female,55700,Bachelor's Degree,Single,0,Rented,Average
1095,30,Female,36540,Associate's Degree,Single,0,Rented,Low
1096,45,Female,71425,Doctorate,Married,1,Owned,High
1097,27,Female,67985,High School Diploma,Single,0,Rented,Average
1098,30,Male,86028,Doctorate,Single,0,Rented,Average
1099,29,Female,39860,Associate's Degree,Single,0,Rented,Average
1100,31,Female,56227,Associate's Degree,Single,0,Rented,Average
1101,28,Female,47719,High School Diploma,Single,0,Rented,High
1102,45,Male,125365,Doctorate,Married,1,Owned,High
1103,47,Female,101928,Associate's Degree,Married,0,Owned,High
1104,35,Male,109946,Master's Degree,Single,0,Owned,High
1105,26,Female,61310,Associate's Degree,Single,0,Rented,Average
1106,47,Female,62271,Bachelor's Degree,Married,1,Owned,High
1107,23,Female,53026,High School Diploma,Single,0,Rented,Average
1108,27,Female,36230,Associate's Degree,Single,0,Rented,Low
1109,30,Female,26850,Bachelor's Degree,Single,0,Rented,Average
1110,28,Female,54863,Bachelor's Degree,Single,0,Rented,Average
1111,41,Male,98092,Bachelor's Degree,Married,0,Owned,High
1112,31,Male,40295,Associate's Degree,Single,0,Rented,Average
1113,25,Female,39737,High School Diploma,Single,0,Rented,High
1114,44,Male,129933,Master's Degree,Married,2,Owned,High
1115,32,Female,56872,High School Diploma,Single,0,Owned,High
1116,41,Female,115655,Doctorate,Married,1,Owned,High
1117,31,Female,42763,Associate's Degree,Single,0,Rented,Low
1118,48,Female,132993,Doctorate,Married,2,Owned,High
1119,49,Male,95538,Doctorate,Married,1,Owned,High
1120,48,Male,151488,Master's Degree,Married,1,Owned,High
1121,40,Male,50670,Doctorate,Married,0,Owned,High
1122,46,Female,140036,Bachelor's Degree,Married,1,Owned,High
1123,31,Male,79836,Bachelor's Degree,Single,0,Rented,Average
1124,32,Female,23731,High School Diploma,Single,0,Owned,High
1125,33,Female,23745,Bachelor's Degree,Single,0,Owned,Low
1126,28,Female,11584,Associate's Degree,Single,0,Rented,Low
1127,28,Male,87404,Associate's Degree,Single,0,Rented,Average
1128,27,Male,52717,Associate's Degree,Single,0,Rented,Average
1129,50,Male,114896,Master's Degree,Married,0,Owned,High
1130,27,Female,53980,High School Diploma,Single,0,Owned,High
1131,23,Female,29620,High School Diploma,Single,0,Rented,Low
1132,30,Female,27057,Associate's Degree,Single,0,Rented,Low
1133,30,Female,59270,High School Diploma,Single,0,Owned,High
1134,32,Female,63229,High School Diploma,Single,0,Owned,High
1135,36,Male,59373,Bachelor's Degree,Single,0,Owned,High
1136,30,Male,78081,Doctorate,Married,2,Owned,High
1137,32,Female,26340,Bachelor's Degree,Single,1,Owned,High
1138,46,Male,140681,Doctorate,Married,0,Owned,High
1139,35,Male,92227,High School Diploma,Single,0,Owned,High
1140,29,Female,19123,Associate's Degree,Single,0,Rented,Average
1141,49,Female,78706,Doctorate,Married,1,Owned,High
1142,30,Female,40907,Master's Degree,Single,0,Owned,Low
1143,27,Male,41757,High School Diploma,Single,0,Rented,Average
1144,29,Female,70309,Associate's Degree,Single,0,Rented,Low
1145,34,Female,17014,Bachelor's Degree,Single,0,Rented,High
1146,27,Female,24190,Bachelor's Degree,Single,0,Rented,Low
1147,25,Male,38966,Bachelor's Degree,Single,0,Rented,Low
1148,45,Female,102078,Master's Degree,Married,0,Owned,High
1149,24,Female,23453,Bachelor's Degree,Single,0,Rented,Low
1150,27,Female,51885,Associate's Degree,Single,0,Rented,Average
1151,46,Female,111625,Doctorate,Married,2,Owned,High
1152,27,Female,58533,Associate's Degree,Single,0,Rented,Average
1153,33,Female,41116,High School Diploma,Married,1,Owned,Low
1154,33,Male,92415,Master's Degree,Single,0,Rented,Average
1155,24,Female,61790,High School Diploma,Single,0,Rented,Low
1156,49,Female,90143,Doctorate,Married,2,Owned,High
1157,29,Female,29687,Bachelor's Degree,Single,0,Rented,Average
1158,45,Male,96374,High School Diploma,Married,2,Owned,High
1159,47,Female,87077,Doctorate,Married,0,Owned,High
1160,29,Female,3737,Associate's Degree,Single,0,Rented,Low
1161,45,Male,95426,Master's Degree,Married,1,Owned,High
1162,50,Male,140354,Master's Degree,Married,3,Owned,High
1163,51,Female,107255,Master's Degree,Married,1,Owned,High
1164,49,Female,68496,Doctorate,Married,2,Owned,High
1165,27,Female,12977,High School Diploma,Single,0,Rented,Low
1166,30,Female,72086,Associate's Degree,Single,0,Rented,Average
1167,44,Female,70324,Master's Degree,Married,1,Owned,High
1168,31,Female,22285,Doctorate,Married,1,Owned,High
1169,48,Male,66088,Doctorate,Married,3,Owned,High
1170,32,Female,37365,High School Diploma,Single,0,Rented,Low
1171,33,Male,59035,Bachelor's Degree,Single,0,Rented,Average
1172,27,Female,82106,Associate's Degree,Single,0,Rented,High
1173,31,Female,134123,Doctorate,Married,2,Owned,High
1174,31,Male,68578,Bachelor's Degree,Single,0,Owned,High
1175,25,Female,41687,Associate's Degree,Single,0,Rented,Low
1176,27,Female,55489,Associate's Degree,Single,0,Rented,Low
1177,31,Female,50265,High School Diploma,Single,0,Rented,High
1178,28,Male,27804,Associate's Degree,Single,0,Rented,Low
1179,28,Female,65578,Associate's Degree,Single,0,Rented,Average
1180,27,Female,66591,Associate's Degree,Single,0,Rented,Average
1181,32,Male,48808,High School Diploma,Single,0,Rented,Low
1182,30,Male,50469,High School Diploma,Single,0,Rented,High
1183,32,Female,59309,Doctorate,Married,1,Owned,High
1184,48,Male,79965,Bachelor's Degree,Single,0,Owned,High
1185,43,Female,108800,Doctorate,Married,1,Owned,High
1186,27,Female,53339,Associate's Degree,Single,0,Rented,Low
1187,26,Female,89567,Bachelor's Degree,Single,0,Rented,High
1188,27,Female,31432,Bachelor's Degree,Single,0,Rented,Low
1189,50,Female,35560,Bachelor's Degree,Single,1,Owned,High
1190,44,Female,120476,Master's Degree,Married,1,Owned,High
1191,34,Male,134620,Master's Degree,Single,0,Owned,High
1192,33,Male,93481,High School Diploma,Single,0,Rented,Average
1193,34,Male,59349,High School Diploma,Married,0,Rented,High
1194,30,Male,36456,Associate's Degree,Single,0,Rented,Average
1195,43,Male,117607,Master's Degree,Married,1,Owned,High
1196,22,Female,61504,Bachelor's Degree,Single,0,Rented,Low
1197,44,Male,71278,Doctorate,Single,2,Owned,High
1198,49,Female,74813,Doctorate,Married,1,Owned,High
1199,40,Female,71385,Associate's Degree,Married,2,Owned,High
1200,38,Female,64171,Doctorate,Married,0,Owned,High
1201,46,Female,92922,Doctorate,Married,3,Owned,High
1202,30,Female,33409,Associate's Degree,Single,0,Rented,Low
1203,31,Male,90850,Bachelor's Degree,Single,0,Owned,High
1204,23,Male,62474,Associate's Degree,Single,0,Rented,High
1205,27,Male,37906,Bachelor's Degree,Single,0,Owned,Average
1206,34,Female,140376,Bachelor's Degree,Married,1,Owned,High
1207,33,Female,59374,High School Diploma,Single,0,Rented,Low
1208,29,Female,34735,High School Diploma,Married,0,Owned,High
1209,46,Male,102696,Doctorate,Married,1,Owned,High
1210,50,Female,107575,Doctorate,Married,1,Owned,High
1211,51,Male,134287,Doctorate,Married,2,Owned,High
1212,27,Female,34864,High School Diploma,Single,0,Rented,Low
1213,27,Female,26612,High School Diploma,Single,0,Rented,Low
1214,30,Male,66054,High School Diploma,Single,0,Rented,Low
1215,44,Female,89689,Bachelor's Degree,Married,2,Owned,High
1216,27,Female,32642,High School Diploma,Single,0,Rented,Low
1217,26,Female,54680,Associate's Degree,Single,0,Rented,Average
1218,30,Female,96591,High School Diploma,Married,1,Owned,High
1219,28,Male,43223,Associate's Degree,Single,0,Rented,Average
1220,46,Male,126962,Doctorate,Married,1,Owned,High
1221,46,Male,149508,Doctorate,Married,0,Owned,High
1222,52,Male,73891,Doctorate,Married,2,Owned,High
1223,31,Male,163262,Bachelor's Degree,Married,2,Owned,High
1224,37,Male,104039,Doctorate,Married,1,Owned,High
1225,45,Male,87785,Master's Degree,Married,2,Owned,High
1226,34,Female,69499,Bachelor's Degree,Married,1,Owned,High
1227,42,Male,128253,Doctorate,Single,0,Owned,High
1228,50,Female,84163,Master's Degree,Married,1,Owned,High
1229,31,Male,129231,Bachelor's Degree,Married,0,Owned,High
1230,28,Female,37537,High School Diploma,Single,0,Rented,Low
1231,30,Female,24695,Associate's Degree,Single,0,Rented,Low
1232,28,Female,75061,High School Diploma,Single,0,Rented,Low
1233,48,Male,133482,Master's Degree,Single,0,Owned,High
1234,32,Female,60025,Associate's Degree,Single,0,Rented,Low
1235,49,Female,68652,High School Diploma,Single,0,Owned,High
1236,28,Female,7651,Associate's Degree,Single,0,Rented,Low
1237,34,Female,30247,Bachelor's Degree,Married,1,Owned,High
1238,35,Female,98883,Master's Degree,Married,1,Owned,High
1239,44,Female,110118,Doctorate,Married,2,Owned,High
1240,37,Female,21103,Associate's Degree,Single,0,Rented,Low
1241,51,Male,104988,Master's Degree,Married,2,Owned,High
1242,24,Female,-174,High School Diploma,Single,0,Rented,Low
1243,29,Female,51282,Doctorate,Married,1,Owned,High
1244,35,Male,60214,High School Diploma,Single,0,Owned,Average
1245,47,Male,76530,Master's Degree,Married,0,Owned,High
1246,28,Female,64468,High School Diploma,Single,0,Rented,Low
1247,51,Male,102656,Master's Degree,Married,1,Owned,High
1248,29,Female,43508,Associate's Degree,Single,0,Owned,Low
1249,36,Male,61832,Associate's Degree,Single,0,Owned,High
1250,51,Female,70611,Master's Degree,Married,0,Owned,High
1251,41,Male,123268,Master's Degree,Married,3,Owned,High
1252,32,Male,62123,Associate's Degree,Single,0,Rented,Average
1253,42,Male,107452,Master's Degree,Married,2,Owned,High
1254,45,Male,141387,Bachelor's Degree,Married,2,Owned,High
1255,23,Female,43846,Associate's Degree,Single,0,Rented,Average
1256,25,Female,49092,Associate's Degree,Single,0,Rented,Average
1257,48,Female,87762,Doctorate,Married,2,Owned,High
1258,50,Female,157859,Master's Degree,Married,1,Owned,High
1259,30,Female,61685,Associate's Degree,Single,0,Rented,Average
1260,29,Female,57140,Doctorate,Single,1,Owned,High
1261,31,Female,37679,High School Diploma,Single,0,Rented,Average
1262,47,Male,117594,Master's Degree,Married,0,Owned,High
1263,49,Male,168514,Master's Degree,Married,0,Owned,High
1264,52,Male,92785,Doctorate,Married,2,Owned,High
1265,47,Female,47593,Doctorate,Married,2,Owned,High
1266,23,Female,28715,Associate's Degree,Single,0,Rented,Average
1267,37,Female,41715,Bachelor's Degree,Married,1,Owned,High
1268,30,Male,38053,High School Diploma,Single,0,Rented,High
1269,31,Female,36450,Bachelor's Degree,Single,0,Rented,Low
1270,35,Male,62683,High School Diploma,Single,1,Owned,Low
1271,39,Male,121258,Doctorate,Single,1,Owned,High
1272,24,Male,67094,High School Diploma,Single,0,Rented,Average
1273,45,Female,134193,Doctorate,Married,1,Owned,High
1274,51,Male,137718,Bachelor's Degree,Single,0,Rented,High
1275,27,Female,31784,Associate's Degree,Single,0,Rented,Average
1276,51,Female,77068,Bachelor's Degree,Married,2,Owned,High
1277,37,Female,96360,Bachelor's Degree,Single,0,Owned,High
1278,49,Male,130447,Master's Degree,Married,2,Owned,High
1279,55,Female,85068,Doctorate,Married,1,Owned,High
1280,28,Female,44373,High School Diploma,Single,0,Owned,Low
1281,29,Female,65362,Associate's Degree,Single,0,Rented,Low
1282,37,Male,85636,High School Diploma,Single,0,Rented,Low
1283,24,Female,39313,High School Diploma,Single,0,Owned,Low
1284,34,Female,51189,Master's Degree,Single,0,Rented,Average
1285,41,Female,119207,Master's Degree,Married,2,Owned,High
1286,34,Male,94159,Bachelor's Degree,Single,0,Rented,High
1287,30,Male,40695,Associate's Degree,Single,0,Rented,Average
1288,35,Female,82721,Doctorate,Married,1,Owned,High
1289,31,Male,87226,High School Diploma,Single,0,Rented,High
1290,51,Female,42195,Doctorate,Married,1,Owned,High
1291,50,Male,118443,Master's Degree,Married,1,Owned,High
1292,45,Female,132208,Master's Degree,Married,2,Owned,High
1293,46,Female,49979,Doctorate,Married,1,Owned,High
1294,43,Male,149158,Bachelor's Degree,Married,2,Owned,High
1295,43,Female,90456,Bachelor's Degree,Married,0,Owned,High
1296,32,Female,9548,High School Diploma,Single,0,Rented,Low
1297,50,Female,99807,Doctorate,Married,2,Owned,High
1298,34,Female,74369,Doctorate,Married,1,Owned,High
1299,29,Female,52657,High School Diploma,Single,0,Rented,Low
1300,33,Female,60931,High School Diploma,Single,0,Rented,Average
1301,30,Female,67481,Master's Degree,Married,1,Owned,High
1302,29,Male,51563,Bachelor's Degree,Single,0,Rented,Average
1303,31,Female,31269,Associate's Degree,Single,0,Rented,Low
1304,43,Female,68881,Doctorate,Married,2,Owned,High
1305,25,Female,22068,High School Diploma,Single,0,Rented,Low
1306,34,Female,50147,Bachelor's Degree,Single,0,Owned,Low
1307,45,Female,58854,Doctorate,Single,0,Owned,High
1308,30,Female,45762,High School Diploma,Single,0,Rented,Low
1309,33,Female,36024,High School Diploma,Single,0,Rented,Average
1310,35,Male,39952,Associate's Degree,Single,0,Rented,Low
1311,29,Female,27708,Bachelor's Degree,Single,0,Rented,Average
1312,33,Female,51129,Associate's Degree,Single,0,Rented,Average
1313,54,Male,91532,Master's Degree,Married,2,Owned,High
1314,51,Male,146843,Master's Degree,Married,1,Owned,High
1315,30,Female,68861,Doctorate,Married,2,Owned,High
1316,25,Female,32864,High School Diploma,Single,0,Rented,Low
1317,28,Female,67848,High School Diploma,Single,0,Rented,Average
1318,31,Female,25365,High School Diploma,Single,0,Rented,Low
1319,47,Female,83847,Associate's Degree,Married,0,Owned,High
1320,51,Male,114078,Master's Degree,Married,3,Owned,High
1321,31,Female,85513,Associate's Degree,Single,0,Rented,Average
1322,32,Female,40708,High School Diploma,Married,1,Owned,High
1323,47,Male,130386,Doctorate,Married,1,Owned,High
1324,36,Female,63949,High School Diploma,Married,0,Owned,High
1325,24,Female,32023,Associate's Degree,Single,0,Rented,Average
1326,32,Female,68534,High School Diploma,Single,0,Rented,Average
1327,47,Male,92579,High School Diploma,Single,0,Rented,High
1328,49,Female,57740,High School Diploma,Single,0,Rented,Low
1329,31,Female,47223,Bachelor's Degree,Single,0,Rented,Average
1330,29,Female,76322,Doctorate,Married,1,Owned,High
1331,36,Female,126577,High School Diploma,Married,3,Owned,High
1332,34,Female,4860,Associate's Degree,Single,0,Rented,Low
1333,49,Female,62747,Master's Degree,Married,1,Owned,High
1334,49,Male,106859,Master's Degree,Married,1,Owned,High
1335,31,Male,117707,Master's Degree,Married,1,Owned,High
1336,43,Male,66320,Master's Degree,Single,0,Owned,High
1337,47,Female,93766,Bachelor's Degree,Married,1,Owned,High
1338,42,Female,34612,High School Diploma,Married,1,Owned,High
1339,48,Male,87307,Doctorate,Married,0,Owned,High
1340,34,Female,97883,Bachelor's Degree,Single,0,Rented,Average
1341,32,Male,88680,Bachelor's Degree,Single,0,Owned,High
1342,42,Male,80480,Master's Degree,Married,0,Owned,High
1343,49,Female,83660,Doctorate,Married,1,Owned,High
1344,29,Male,56109,High School Diploma,Single,0,Rented,Average
1345,36,Male,40040,High School Diploma,Single,0,Rented,Average
1346,49,Male,139808,Master's Degree,Married,3,Owned,High
1347,35,Female,35587,Bachelor's Degree,Married,1,Owned,High
1348,32,Male,86372,Associate's Degree,Single,0,Rented,Average
1349,47,Male,116069,Master's Degree,Married,2,Owned,High
1350,29,Female,54932,High School Diploma,Single,0,Rented,Average
1351,52,Male,161469,Master's Degree,Married,1,Owned,High
1352,26,Female,28993,High School Diploma,Single,0,Rented,Low
1353,50,Female,115351,Doctorate,Married,2,Owned,High
1354,32,Female,104371,Doctorate,Single,2,Owned,High
1355,44,Male,90829,Doctorate,Married,2,Owned,High
1356,49,Male,146780,Master's Degree,Married,3,Owned,High
1357,54,Female,102098,Doctorate,Married,0,Owned,High
1358,30,Female,29307,Bachelor's Degree,Married,1,Owned,High
1359,30,Male,58114,Bachelor's Degree,Single,0,Rented,Average
1360,48,Male,98693,Doctorate,Married,0,Owned,High
1361,50,Female,76760,Bachelor's Degree,Married,1,Owned,High
1362,28,Female,24175,Associate's Degree,Single,0,Rented,Average
1363,32,Female,38086,High School Diploma,Single,0,Rented,Low
1364,31,Female,49685,High School Diploma,Single,0,Rented,Average
1365,34,Female,82563,Bachelor's Degree,Married,1,Owned,High
1366,31,Female,37841,High School Diploma,Single,0,Rented,Average
1367,25,Female,33588,High School Diploma,Single,0,Rented,Low
1368,56,Male,125390,Master's Degree,Married,1,Owned,High
1369,43,Male,100287,Doctorate,Married,0,Owned,High
1370,29,Female,18277,Associate's Degree,Single,0,Rented,Low
1371,46,Female,98228,Doctorate,Married,1,Owned,High
1372,24,Female,22617,High School Diploma,Single,0,Rented,Low
1373,45,Female,76589,Bachelor's Degree,Married,1,Owned,High
1374,35,Female,128318,Doctorate,Married,0,Owned,High
1375,48,Male,110172,Master's Degree,Married,1,Owned,High
1376,33,Female,27559,Associate's Degree,Single,0,Rented,Low
1377,50,Male,126863,Master's Degree,Married,0,Owned,High
1378,46,Male,109191,Master's Degree,Married,1,Owned,High
1379,34,Female,52090,Associate's Degree,Single,0,Rented,Average
1380,43,Female,100575,Doctorate,Married,1,Owned,High
1381,29,Female,51360,Doctorate,Single,0,Owned,High
1382,28,Female,47526,High School Diploma,Single,0,Rented,Average
1383,33,Male,58948,Doctorate,Married,2,Owned,High
1384,48,Male,108833,Bachelor's Degree,Married,1,Owned,High
1385,33,Female,10203,Associate's Degree,Single,0,Rented,Low
1386,42,Male,64190,High School Diploma,Single,0,Owned,High
1387,46,Male,89784,Bachelor's Degree,Married,1,Owned,High
1388,33,Male,56635,Associate's Degree,Single,0,Rented,Average
1389,48,Female,94702,Bachelor's Degree,Married,1,Owned,High
1390,30,Male,48862,Associate's Degree,Single,0,Rented,Average
1391,46,Male,141862,Master's Degree,Married,0,Owned,High
1392,46,Male,62432,Doctorate,Married,2,Owned,High
1393,32,Female,52375,High School Diploma,Single,1,Rented,Low
1394,43,Female,92793,Master's Degree,Married,1,Owned,High
1395,29,Female,56756,Associate's Degree,Single,0,Rented,Low
1396,29,Male,48309,Bachelor's Degree,Single,0,Rented,Average
1397,42,Female,101919,Bachelor's Degree,Married,1,Owned,High
1398,43,Female,81599,Bachelor's Degree,Married,1,Owned,High
1399,33,Female,111121,Bachelor's Degree,Married,1,Owned,High
1400,52,Male,135866,Doctorate,Married,1,Owned,High
1401,50,Female,110738,Doctorate,Married,1,Owned,High
1402,28,Female,39508,Associate's Degree,Single,0,Rented,Low
1403,31,Male,63507,High School Diploma,Single,0,Rented,Average
1404,30,Female,9912,High School Diploma,Single,0,Rented,Low
1405,30,Female,54916,Associate's Degree,Single,0,Rented,Average
1406,40,Male,159542,Master's Degree,Married,0,Owned,High
1407,46,Male,77724,Master's Degree,Married,2,Owned,High
1408,38,Female,89429,Bachelor's Degree,Married,0,Owned,High
1409,29,Male,86471,High School Diploma,Single,0,Rented,Average
1410,29,Female,130209,Master's Degree,Married,2,Owned,High
1411,50,Male,88769,Doctorate,Married,0,Owned,High
1412,48,Female,85626,Bachelor's Degree,Married,2,Owned,High
1413,33,Male,132971,Master's Degree,Single,0,Rented,High
1414,28,Female,40127,High School Diploma,Single,0,Rented,Low
1415,28,Female,20901,High School Diploma,Single,0,Rented,Average
1416,27,Female,24197,Bachelor's Degree,Single,0,Rented,Low
1417,35,Male,132611,Bachelor's Degree,Single,0,Owned,High
1418,28,Female,52227,Bachelor's Degree,Single,0,Rented,Average
1419,48,Female,52902,Bachelor's Degree,Married,0,Owned,High
